ts_code,symbol,name,area,industry,xueqiu_url
000893.SZ,000893,亚钾国际,广东,农药化肥,https://xueqiu.com/S/SZ000893
000895.SZ,000895,双汇发展,河南,食品,https://xueqiu.com/S/SZ000895
000898.SZ,000898,鞍钢股份,辽宁,普钢,https://xueqiu.com/S/SZ000898
000921.SZ,000921,海信家电,广东,家用电器,https://xueqiu.com/S/SZ000921
000932.SZ,000932,华菱钢铁,湖南,普钢,https://xueqiu.com/S/SZ000932
000933.SZ,000933,神火股份,河南,铝,https://xueqiu.com/S/SZ000933
000937.SZ,000937,冀中能源,河北,煤炭开采,https://xueqiu.com/S/SZ000937
000938.SZ,000938,紫光股份,北京,IT设备,https://xueqiu.com/S/SZ000938
000951.SZ,000951,中国重汽,山东,汽车整车,https://xueqiu.com/S/SZ000951
000958.SZ,000958,电投产融,河北,新型电力,https://xueqiu.com/S/SZ000958
000959.SZ,000959,首钢股份,北京,普钢,https://xueqiu.com/S/SZ000959
000960.SZ,000960,锡业股份,云南,小金属,https://xueqiu.com/S/SZ000960
000963.SZ,000963,华东医药,浙江,化学制药,https://xueqiu.com/S/SZ000963
000967.SZ,000967,盈峰环境,浙江,环境保护,https://xueqiu.com/S/SZ000967
000975.SZ,000975,山金国际,内蒙,黄金,https://xueqiu.com/S/SZ000975
000977.SZ,000977,浪潮信息,山东,IT设备,https://xueqiu.com/S/SZ000977
000983.SZ,000983,山西焦煤,山西,煤炭开采,https://xueqiu.com/S/SZ000983
000987.SZ,000987,越秀资本,广东,多元金融,https://xueqiu.com/S/SZ000987
000997.SZ,000997,新大陆,福建,IT设备,https://xueqiu.com/S/SZ000997
000999.SZ,000999,华润三九,深圳,中成药,https://xueqiu.com/S/SZ000999
001213.SZ,001213,中铁特货,北京,铁路,https://xueqiu.com/S/SZ001213
001221.SZ,001221,悍高集团,广东,家居用品,https://xueqiu.com/S/SZ001221
001286.SZ,001286,陕西能源,陕西,火力发电,https://xueqiu.com/S/SZ001286
001389.SZ,001389,广合科技,广东,元器件,https://xueqiu.com/S/SZ001389
001391.SZ,001391,国货航,北京,仓储物流,https://xueqiu.com/S/SZ001391
001696.SZ,001696,宗申动力,重庆,摩托车,https://xueqiu.com/S/SZ001696
001965.SZ,001965,招商公路,天津,路桥,https://xueqiu.com/S/SZ001965
001979.SZ,001979,招商蛇口,深圳,全国地产,https://xueqiu.com/S/SZ001979
002001.SZ,002001,新和成,浙江,化学制药,https://xueqiu.com/S/SZ002001
002007.SZ,002007,华兰生物,河南,生物制药,https://xueqiu.com/S/SZ002007
002008.SZ,002008,大族激光,深圳,专用机械,https://xueqiu.com/S/SZ002008
002025.SZ,002025,航天电器,贵州,元器件,https://xueqiu.com/S/SZ002025
002027.SZ,002027,分众传媒,上海,广告包装,https://xueqiu.com/S/SZ002027
002028.SZ,002028,思源电气,上海,电气设备,https://xueqiu.com/S/SZ002028
002032.SZ,002032,苏泊尔,浙江,家用电器,https://xueqiu.com/S/SZ002032
002044.SZ,002044,美年健康,浙江,医疗保健,https://xueqiu.com/S/SZ002044
002049.SZ,002049,紫光国微,河北,半导体,https://xueqiu.com/S/SZ002049
002050.SZ,002050,三花智控,浙江,家用电器,https://xueqiu.com/S/SZ002050
002056.SZ,002056,横店东磁,浙江,电气设备,https://xueqiu.com/S/SZ002056
002064.SZ,002064,华峰化学,浙江,化纤,https://xueqiu.com/S/SZ002064
002065.SZ,002065,东华软件,北京,软件服务,https://xueqiu.com/S/SZ002065
002074.SZ,002074,国轩高科,安徽,电气设备,https://xueqiu.com/S/SZ002074
002078.SZ,002078,太阳纸业,山东,造纸,https://xueqiu.com/S/SZ002078
002080.SZ,002080,中材科技,江苏,玻璃,https://xueqiu.com/S/SZ002080
002085.SZ,002085,万丰奥威,浙江,汽车配件,https://xueqiu.com/S/SZ002085
002120.SZ,002120,韵达股份,浙江,仓储物流,https://xueqiu.com/S/SZ002120
002126.SZ,002126,银轮股份,浙江,汽车配件,https://xueqiu.com/S/SZ002126
002128.SZ,002128,电投能源,内蒙,煤炭开采,https://xueqiu.com/S/SZ002128
002130.SZ,002130,沃尔核材,深圳,电气设备,https://xueqiu.com/S/SZ002130
002131.SZ,002131,利欧股份,浙江,互联网,https://xueqiu.com/S/SZ002131
002138.SZ,002138,顺络电子,深圳,元器件,https://xueqiu.com/S/SZ002138
002142.SZ,002142,宁波银行,浙江,银行,https://xueqiu.com/S/SZ002142
002152.SZ,002152,广电运通,广东,IT设备,https://xueqiu.com/S/SZ002152
002153.SZ,002153,石基信息,北京,软件服务,https://xueqiu.com/S/SZ002153
002155.SZ,002155,湖南黄金,湖南,黄金,https://xueqiu.com/S/SZ002155
002156.SZ,002156,通富微电,江苏,半导体,https://xueqiu.com/S/SZ002156
002157.SZ,002157,正邦科技,江西,农业综合,https://xueqiu.com/S/SZ002157
002179.SZ,002179,中航光电,河南,元器件,https://xueqiu.com/S/SZ002179
002185.SZ,002185,华天科技,甘肃,半导体,https://xueqiu.com/S/SZ002185
002195.SZ,002195,岩山科技,上海,软件服务,https://xueqiu.com/S/SZ002195
