ts_code,symbol,name,area,industry,xueqiu_url
002459.SZ,002459,晶澳科技,河北,电气设备,https://xueqiu.com/S/SZ002459
002460.SZ,002460,赣锋锂业,江西,小金属,https://xueqiu.com/S/SZ002460
002465.SZ,002465,海格通信,广东,通信设备,https://xueqiu.com/S/SZ002465
002466.SZ,002466,天齐锂业,四川,小金属,https://xueqiu.com/S/SZ002466
002475.SZ,002475,立讯精密,深圳,元器件,https://xueqiu.com/S/SZ002475
002506.SZ,002506,协鑫集成,上海,电气设备,https://xueqiu.com/S/SZ002506
002517.SZ,002517,恺英网络,福建,互联网,https://xueqiu.com/S/SZ002517
002527.SZ,002527,新时达,上海,电器仪表,https://xueqiu.com/S/SZ002527
002532.SZ,002532,天山铝业,新疆,铝,https://xueqiu.com/S/SZ002532
002536.SZ,002536,飞龙股份,河南,汽车配件,https://xueqiu.com/S/SZ002536
002555.SZ,002555,三七互娱,安徽,互联网,https://xueqiu.com/S/SZ002555
002558.SZ,002558,巨人网络,重庆,互联网,https://xueqiu.com/S/SZ002558
002583.SZ,002583,海能达,深圳,通信设备,https://xueqiu.com/S/SZ002583
002594.SZ,002594,比亚迪,深圳,汽车整车,https://xueqiu.com/S/SZ002594
002600.SZ,002600,领益智造,广东,元器件,https://xueqiu.com/S/SZ002600
002602.SZ,002602,世纪华通,浙江,互联网,https://xueqiu.com/S/SZ002602
002624.SZ,002624,完美世界,浙江,互联网,https://xueqiu.com/S/SZ002624
002625.SZ,002625,光启技术,深圳,航空,https://xueqiu.com/S/SZ002625
002648.SZ,002648,卫星化学,浙江,化工原料,https://xueqiu.com/S/SZ002648
002716.SZ,002716,湖南白银,湖南,小金属,https://xueqiu.com/S/SZ002716
002735.SZ,002735,王子新材,深圳,塑料,https://xueqiu.com/S/SZ002735
002739.SZ,002739,万达电影,北京,影视音像,https://xueqiu.com/S/SZ002739
002759.SZ,002759,天际股份,广东,电气设备,https://xueqiu.com/S/SZ002759
002812.SZ,002812,恩捷股份,云南,电气设备,https://xueqiu.com/S/SZ002812
002821.SZ,002821,凯莱英,天津,生物制药,https://xueqiu.com/S/SZ002821
002837.SZ,002837,英维克,深圳,专用机械,https://xueqiu.com/S/SZ002837
002847.SZ,002847,盐津铺子,湖南,食品,https://xueqiu.com/S/SZ002847
002851.SZ,002851,麦格米特,深圳,电气设备,https://xueqiu.com/S/SZ002851
002865.SZ,002865,钧达股份,海南,电气设备,https://xueqiu.com/S/SZ002865
002919.SZ,002919,名臣健康,广东,互联网,https://xueqiu.com/S/SZ002919
002920.SZ,002920,德赛西威,广东,汽车配件,https://xueqiu.com/S/SZ002920
002931.SZ,002931,锋龙股份,浙江,机械基件,https://xueqiu.com/S/SZ002931
002961.SZ,002961,瑞达期货,福建,多元金融,https://xueqiu.com/S/SZ002961
002965.SZ,002965,祥鑫科技,广东,汽车配件,https://xueqiu.com/S/SZ002965
003009.SZ,003009,中天火箭,陕西,航空,https://xueqiu.com/S/SZ003009
003021.SZ,003021,兆威机电,深圳,元器件,https://xueqiu.com/S/SZ003021
003031.SZ,003031,中瓷电子,河北,元器件,https://xueqiu.com/S/SZ003031
003035.SZ,003035,南网能源,广东,新型电力,https://xueqiu.com/S/SZ003035
003816.SZ,003816,中国广核,深圳,新型电力,https://xueqiu.com/S/SZ003816
300001.SZ,300001,特锐德,山东,电气设备,https://xueqiu.com/S/SZ300001
300007.SZ,300007,汉威科技,河南,电器仪表,https://xueqiu.com/S/SZ300007
300014.SZ,300014,亿纬锂能,广东,电气设备,https://xueqiu.com/S/SZ300014
300058.SZ,300058,蓝色光标,北京,广告包装,https://xueqiu.com/S/SZ300058
300059.SZ,300059,东方财富,上海,证券,https://xueqiu.com/S/SZ300059
300102.SZ,300102,乾照光电,福建,半导体,https://xueqiu.com/S/SZ300102
300115.SZ,300115,长盈精密,深圳,元器件,https://xueqiu.com/S/SZ300115
300118.SZ,300118,东方日升,浙江,电气设备,https://xueqiu.com/S/SZ300118
300136.SZ,300136,信维通信,深圳,元器件,https://xueqiu.com/S/SZ300136
300146.SZ,300146,汤臣倍健,广东,食品,https://xueqiu.com/S/SZ300146
300251.SZ,300251,光线传媒,北京,影视音像,https://xueqiu.com/S/SZ300251
300274.SZ,300274,阳光电源,安徽,电气设备,https://xueqiu.com/S/SZ300274
300285.SZ,300285,国瓷材料,山东,陶瓷,https://xueqiu.com/S/SZ300285
300308.SZ,300308,中际旭创,山东,通信设备,https://xueqiu.com/S/SZ300308
300315.SZ,300315,掌趣科技,北京,互联网,https://xueqiu.com/S/SZ300315
300316.SZ,300316,晶盛机电,浙江,专用机械,https://xueqiu.com/S/SZ300316
300354.SZ,300354,东华测试,江苏,电器仪表,https://xueqiu.com/S/SZ300354
300383.SZ,300383,光环新网,北京,软件服务,https://xueqiu.com/S/SZ300383
300394.SZ,300394,天孚通信,江苏,通信设备,https://xueqiu.com/S/SZ300394
300418.SZ,300418,昆仑万维,北京,互联网,https://xueqiu.com/S/SZ300418
300433.SZ,300433,蓝思科技,湖南,元器件,https://xueqiu.com/S/SZ300433
300442.SZ,300442,润泽科技,河北,软件服务,https://xueqiu.com/S/SZ300442
300444.SZ,300444,双杰电气,北京,电气设备,https://xueqiu.com/S/SZ300444
300450.SZ,300450,先导智能,江苏,专用机械,https://xueqiu.com/S/SZ300450
